Name,Website,Social,Office Phone # or email,Address,Area,Organization Mission
"
South Bay Abolitionist Collective
",https://linktr.ee/TorranceForJustice,@southbay_abolition_mutualaid,,,,"Mutual Aid in the South Bay, Los Angeles, Tovaangar. Monthly mutual aid outreach at Alondra Park every 3rd Sunday of the month."
"
The People's Struggle
",https://www.instagram.com/peoplesstrugglesfv/?hl=en,"@peoplesstrugglesfv
",peoplesstrugglesfv,,,Valley Revolutionary Organization
"
The Rent Brigade
",https://www.rentbrigade.org/,@therentbrigade,,,,"The effort began after the LA wildfires that started on January 7, as a way to document rent gouging by landlords exploiting displaced people during disaster. We maintain the Tracking Rental Price Gouging in LA spreadsheet, a crowd-sourced tool that exposes landlords who disregard the law and put profits over people. By collecting and sharing this data, we hold landlords accountable because too often, they face no consequences for their actions. This effort brings together people with ties to various organizations and those without any affiliations—united by a collective outrage at landlord greed and a commitment to tenant justice."
"
Lennox-Inglewood Tenants Union
",https://linktr.ee/Litunion?fbclid=PAZXh0bgNhZW0CMTEAAacG1Lk9so-kA2IvPoD3oGWXSKMgknKHG6yzrLm6N_v8jJCNc11zmqCbbAIwWA_aem_R5yh_9nTuJTxzs1waqQ5ag,@litunion,inglewoodtenantsunion@gmail.com,,,Confronting our fears as a union
"
Long Beach Tenants Union
",https://linktr.ee/lbtenants?fbclid=PAZXh0bgNhZW0CMTEAAacHXYBzwqU4LtdsU8KI3NrF1di7uO87w_jhi1dUA1EL5ZUPhUr2GOXLnn1xWA_aem_XlLpDEXxuNhRvMDb1nGVeQ,@lbtenants,,,,"LB Tenants Organizing independently on land known as Long Beach, CA. ✊🏽60% of LBC are Tenants! 🦋Let’s build Power! & Stop Evictions!"
"
DSA-LA
",https://dsa-la.org/,@dsa_la,,,,"The Democratic Socialists of America (DSA) is the largest socialist organization in the United States with over 70,000 members nationally. DSA’s members are building progressive movements for social change while establishing a democratic socialist presence in American communities and politics."
"
NODUTDOL
",https://nodutdol.org/,@nodutdol,,,,"We are diasporic Koreans and comrades organizing for a world free of imperialism, and for Korea’s re/unification & national liberation."
"
People's City Council
",https://www.peoplescitycouncil-la.com/,@peoplescitycouncil,,,,"abolitionist, anti-capitalist & anti-imperialist collective amplifying the voice of the ppl - direct action, political education + community building"
"
Creating Justice Los Angeles
",https://www.creatingjustice.la/,@creatingjusticela_,,900 N Alameda St #862005,,"I. Develop a creative organizing model that helps remove the walls of hostility (racism, classism, and -isms) that separates and destroys communities. II. Educate and mobilize the younger generation in the area of public policy in order to effect change in our community. III. Help historically disenfranchised communities build authentic and true power. IV. Help the younger generation build power and engage power positively and constructively rather than in destructive ways. V. Inspire and encourage artists to create art that uplifts our culture and society. VI. Placing a higher value on artists' creations by creating economic structures that produce compensation for starving artists."
"
BAJI
",https://baji.org/,@instabaji,(347) 464-5422,"1368 Fulton St Suite 311, Brooklyn, NY 11216",,"BAJI educates and engages African American and black immigrant communities to organize and advocate for racial, social and economic justice. Local BAJI Organizing Committees in New York, Georgia, California and Arizona build coalitions and initiate campaigns among communities to push for racial justice. At the local and regional level, BAJI provides training and technical assistance to partner organizations to develop leadership skills, works with faith communities to harness their prophetic voice, and initiates vibrant dialogues with African Americans and black immigrants to discover more about race, our diverse identities, racism, migration and globalization. BAJI’s flagship project is the Black Immigration Network (BIN), a national alliance that brings together black-led organizations and programs to advance just immigration policies and promote cultural shifts our communities need. The BIN kinship provides a safe, communal space for diverse black communities to connect, engage and advocate for equality and justice for all."
"
5051 SoCal
",https://www.50501socal.org/,@50501_socal,info@50501socal.org,,,"A peaceful, decentralized, grassroots movement with a mission to uphold democracy and constitutional governance."
"
Local 721 SEIU
",https://www.seiu721.org/,@seiu721,(877) 721-4968,1545 Wilshire Blvd,,"This account is being used for campaign purposes by Service Employees International Union Local 721 CTW, CLC Workers’ Strength Committee."
"
Sacred Resistance
",https://diocesela.org/convention/exhibithall/sacred-resistance/,@la.sacredresistance,213) 482-2040,840 Echo Park Avenue,,"Sacred Resistance is a growing movement of the faithful heeding the call to resist. Sacred Resistance honors a commitment to sanctuary and to peaceful action towards ensuring recognition of the dignity of all people.As people of faith and people of conscience, Sacred Resistance rejects the the present presidential administration’s policy proposals which harass and deport millions of undocumented immigrants and discriminate against AMEMSA (Arab/Middle Eastern/Muslim/South Asian) communities. We embody faithful resistance in the public square and open our congregations and communities to provide sanctuary for anyone targeted by state‐sanctioned scapegoating, working as a matter of faith to ensure the dignity and human rights of all people. Sacred Resistance calls upon the ancient traditions of our faiths, which recognized houses of worship as a refuge for the runaway slave, the conscientious objector, and the Central American refugee fleeing the civil wars of the 1980s, Sanctuary is once again growing among communities of faith and we stand in solidarity with Central American immigrants, AMEMSA and other communities facing immoral and unjust deportation and discrimination policies. We find ourselves entering a new phase of U.S. history wherein the politics of fear has stoked an atmosphere of racism and xenophobia across the country. Sacred Resistance represents a measured and faithful response to such hatred."
"
La Raza Unida Party
",https://razaunidaparty.org/?fbclid=PAZXh0bgNhZW0CMTEAAaeByKE3tWSOtkQn_o_mQ__Nq_tKH3DHYKHH5OEf1JQYZaOxiZL7B-ghG7me0w_aem_nFYH25o12_HoAb07dCR9iQ,@la_raza_unida_party,,,,"Founded in 1970 in Crystal City, Texas, the Partido Nacional emerged from a rich tapestry of Chicano resistance and activism. This movement, deeply rooted in the struggles against social, economic, and political injustices, sought to forge a distinct Chicano identity and fight for the rights of Mexican-Americans"
"
FRSO Los Angeles
",https://frso.org/,@frsolosangeles,612-477-5807,,LA and OC,Serving 2 counties — LA & Orange📍Aztlán. FRSO is a national organization of revolutionaries fighting for socialism in the U.S.
"
Centro CSO
",https://sites.google.com/view/centrocso/centro-cso,@centrocso,323-580-3764,,East LA,•Defending public education & fighting for all oppressed people in Boyle Heights & East LA •Meetings every 3rd Wednesday 🌵Chicano Self-Determination🌵
,,,,,,
"
Trabajadores de KIWA por la Justicia
",https://www.kiwa.org/,@kiwa4justice,213-738-9050,"PO Box 75545, Los Angeles, CA 90075",LA,"Fundada en 1992, KIWA empodera a los trabajadores inmigrantes y a los inquilinos para lograr una California más justa e inclusiva. KIWA, uno de los centros de trabajadores más consolidados del país, organiza principalmente a trabajadores latinos y coreanos, centrándose en los sectores de la restauración y el comercio minorista, en Koreatown y más allá. KIWA combina la organización estratégica de los trabajadores y la comunidad con el cambio de políticas, el desarrollo del liderazgo, la investigación, los servicios y la creación de coaliciones. Debido a su enorme impacto en la vida de los trabajadores, KIWA también trabaja en las áreas de participación ciudadana, política económica, inmigración, política de vivienda y reforma del uso del suelo."
"
The K.W. Lee Center For Leadership
",https://www.kwleecenter.org/,@kwleecenterforleadership,(213) 985-7451,"853 S. Lucerne Blvd., #104, Los Angeles, CA 90005",Koreatown,Una organización sin ánimo de lucro dedicada a proporcionar a los jóvenes las herramientas y oportunidades necesarias para convertirse en futuros líderes.
"
El Centro K.W. Lee para el Liderazgo
",https://tuwu.org/,@tuwu_bayarea,1 (415) 621-4155,"1212 Broadway, STE 700, Oakland, CA 94612",Bay Area,Trabajadores Unidos Workers United (TUWU) es un centro regional para trabajadores inmigrantes del Área de la Bahía que se encuentra en la intersección entre la justicia económica racial y los derechos de los inmigrantes.
"
Centro de Trabajadores Filipinos
",https://www.pwcsc.org/,@pwcsc,213-250-4353,,,"En PWC, estamos comprometidos con empoderar a los trabajadores filipinos y sus familias a través de la defensa, la educación y los servicios de apoyo. Al unirte a nosotros, te conviertes en parte de una red dinámica dedicada a promover los derechos de los trabajadores y mejorar la calidad de vida de todos."
"
laane UNA NUEVA ECONOMÍA PARA TODOS
",https://laane.org/,@laane_org,,"464 Lucas Avenue, Suite 202, Los Angeles, CA 90017",,"La Alianza de Los Ángeles para una Nueva Economía (LAANE) es una institución dedicada a la organización y la defensa de la justicia económica, medioambiental y racial. Durante los últimos 30 años, hemos tendido puentes entre la comunidad y el poder laboral para lograr políticas que mejoren la vida de las familias trabajadoras de Los Ángeles y Long Beach. Nuestra visión es ayudar a construir una nueva economía basada en buenos empleos, comunidades prósperas y un medio ambiente saludable para todos. Luchamos por el cambio a través de la organización comunitaria, la creación de coaliciones comunitarias y laborales, la investigación, la comunicación y el trabajo en materia de políticas."
"
Centro de Desarrollo Comunitario Tailandés
",https://thaicdc.org/,@thaicdc,3234682555,"6376 Yucca St., Ste B, Los Angeles, CA 90028",Thaitown,"La misión de Thai CDC es «promover el bienestar social y económico de los tailandeses con ingresos bajos y moderados y otras comunidades étnicas en el área metropolitana de Los Ángeles a través de una estrategia de desarrollo comunitario amplia y integral que incluye la defensa de los derechos humanos, viviendas asequibles, acceso a la atención médica, promoción de pequeñas empresas, empoderamiento de los vecindarios y empresas sociales»."
