Name,website,social,Office Phone # or email,Address,Area,Organization Mission
CARWASHERXS,https://www.cleancarwash.org/,@carwasherxs ,(323) 840-3311,,,"Fundado en 2007, CLEAN Carwash Worker Center cuenta con 15 años de experiencia en el desarrollo del poder y el liderazgo de los trabajadores de lavado de coches. Como primer centro de trabajadores de lavado de coches en Los Ángeles y en todo el país, CLEAN lucha por sacar a la luz la explotación que existe en la industria del lavado de coches y por centrar la atención en quienes están en el corazón de estas operaciones: los trabajadores de lavado de coches."
Mutual Aid Network Los Angeles,https://mutualaidla.org/,@mutualaidlanetwork,,,,"Mutual Aid LA Network (MALAN) es un centro de conexión e información para iniciativas de ayuda mutua, personas y recursos en todo Los Ángeles. Trabajamos por la abolición y creemos en un mundo próspero que pueda liberarse de la opresión a través de la solidaridad comunitaria."
Organized Power in Numbers,https://powerinnumbers.us/,@opinorg,,,,Impulsamos los esfuerzos de cambio en el sur y el suroeste y potenciamos las campañas que llegan a millones de personas para lograr victorias para los trabajadores de todo el mundo.
Aquí Para La Comunidad,https://www.instagram.com/aquiparalacomunidad/#,@Aquiparalacomunidad,323-426-2823,,LA County,"Entregamos comestibles a nuestras comunidades, con sede en el condado de Los Ángeles y en expansión a otras regiones del sur de California."
Border Angels LA-OC,https://www.borderangels.org/,@borderangelsofficial,(619) 487-0249,"2258 Island Ave, San Diego CA 92102",Southern California,"Border Angels es una organización sin ánimo de lucro que defiende los derechos humanos, una reforma migratoria humanitaria y la justicia social, con especial atención a las cuestiones relacionadas con la frontera entre Estados Unidos y México."
Community Justice Exchange,https://www.communityjusticeexchange.org/,,info@communityjusticeexchange.org,,,"El Community Justice Exchange es un centro nacional para desarrollar, compartir y experimentar con intervenciones tácticas, prácticas de organización estratégica y herramientas de organización innovadoras con el objetivo de abolir el complejo industrial penitenciario. Brindamos apoyo a organizaciones comunitarias que están experimentando con intervenciones ascendentes y de fortalecimiento del poder en los sistemas penales y de detención de inmigrantes."
ACLU Southern California,https://www.aclusocal.org/,@aclu_socal,213-977-9500,,Southern California,"Una organización sin ánimo de lucro, no partidista, jurídica y de defensa 501(c)(4) que defiende los derechos de todos. ✊🏾✊🏿✊🏼"
Unión del Barrio,https://uniondelbarrio.org/main/,@uniondelbarrio,213/444-6562,info_la@uniondelbarrio.org,LA,"Unión del Barrio es una organización política independiente que opera con una base de miembros voluntarios y se autofinancia íntegramente a través de las cuotas de los miembros, las contribuciones de la comunidad y la recaudación de fondos a nivel local. Nos hemos dedicado a luchar en nombre de «la raza» que vive dentro de las fronteras actuales de los Estados Unidos."
NDLON - National Day Laborer Organizing Network,https://ndlon.org/,@daylaborernetwork,(626) 799-3566,"1030 S Arroyo Pkwy, Ste 106, Pasadena, CA 91105",LA County,"NDLON mejora la vida de los jornaleros, los migrantes y los trabajadores con salarios bajos. Desarrollamos el liderazgo y el poder entre quienes se enfrentan a la injusticia para que puedan desafiar la desigualdad y ampliar los derechos laborales, civiles y políticos para todos."
LATU - Los Angeles Tenants Union,https://latenantsunion.org/en/,@latenants,info@latenantsunion.org,,LA,"La Unión de Inquilinos de Los Ángeles es un movimiento diverso, liderado por inquilinos, que lucha por el derecho humano a la vivienda para todos. Exigimos viviendas seguras y asequibles, así como un control universal de los alquileres. Nos organizamos contra el acoso de los propietarios, los desalojos masivos y los desplazamientos. Nos movilizamos para que se deroguen la Ley Ellis y la Ley Costa-Hawkins. Nuestra misión es fortalecer el poder político de los inquilinos a través de la educación, la defensa y la acción directa. La Unión de Inquilinos de Los Ángeles es un movimiento autónomo en materia de vivienda financiado principalmente por sus miembros. El trabajo de nuestro sindicato se organiza a través de nuestras secciones locales. Para participar en el sindicato, comience por asistir a las reuniones de la sección local más cercana a usted."
Immigrant Defense Project,https://www.immigrantdefenseproject.org/,@immdefense,(212) 725-6422,info@immdefense.org,USA,Trabajando para garantizar la equidad y la justicia para los inmigrantes en los Estados Unidos.
PSL LA - Party for Socialism and Liberation,https://pslweb.org/,@psl_losangeles,,,,¡Somos la sección de Los Ángeles del Partido por el Socialismo y la Liberación!
Jail Support LA,https://www.instagram.com/jailsupportla/?hl=en#,@jailsupportla,424-610-3020,,,Somos un colectivo de base dedicado a apoyar el trabajo contra la represión en Los Ángeles ❤️‍🔥
LA Voice,https://www.lavoice.org/,@la_voice,(213) 384-7404,contact@lavoice.org,,Organización multirracial y multiconfesional que despierta en las personas de todo el condado de Los Ángeles la conciencia de su propio poder en pro de la equidad y la abundancia para todos. Miembro de @picocalifornia y @fianational.
PICO California,https://picocalifornia.org/,@picocalifornia,916-447-7959,PO Box 33334,,"Los movimientos populares dedicados a inclinar el arco moral de la historia hacia la justicia han estado históricamente animados por la fe y los valores espirituales, y las personas creyentes han estado en el centro de algunas de las luchas más importantes de Estados Unidos por la justicia social, desde la abolición de la esclavitud hasta la lucha por los derechos civiles y las luchas actuales contra el racismo sistémico y el agravamiento de la desigualdad económica. Las instituciones religiosas son también algunos de los únicos lugares que quedan en la sociedad civil donde las personas pueden reunirse sin importar su raza, clase social o ideología para promover una visión más amplia que ellos mismos, lo que creemos que es fundamental para lograr un cambio real para los californianos más vulnerables."
Calfornia Immigrant Policy Center,https://caimmigrant.org/,@caimmigrant,info@caimmigrant.org,,,"El Centro de Políticas para Inmigrantes de California (CIPC) es una organización líder en el estado que defiende los derechos de los inmigrantes y promueve políticas que protegen y promueven los derechos de los inmigrantes y sus familias en toda California. El CIPC combina la defensa de políticas, las comunicaciones estratégicas, la organización a nivel estatal y el desarrollo de capacidades de coaliciones regionales para cumplir su misión de promover políticas que defiendan la humanidad de los inmigrantes y, al mismo tiempo, avancen en la justicia racial, social y económica."
The Revolutionary Love Project,https://revolutionarylove.org/,@revloveproject,,,,"The Revolutionary Love Project inspires and equips people with tools to practice the ethic of love. We teach core practices of Revolutionary Love, backed by research and infused with ancestral wisdom."
Proyecto Pastoral,https://www.proyectopastoral.org/,@proyectopastoral,(323) 881-0018,"135 N. Mission Rd. Los Angeles, CA 90033",,"El Proyecto Amor Revolucionario inspira y equipa a las personas con herramientas para practicar la ética del amor. Enseñamos las prácticas fundamentales del Amor Revolucionario, respaldadas por investigaciones y enriquecidas con la sabiduría ancestral."
Detention Watch,https://www.detentionwatchnetwork.org/,@detentionwatch,,"1730 Rhode Island Ave NW, Suite 711, Washington, DC 20036",,"Detention Watch Network (DWN) es una coalición nacional que genera poder a través de la defensa colectiva, la organización de base y las comunicaciones estratégicas para abolir la detención de inmigrantes en los Estados Unidos."
No Sleep For ICE,https://www.instagram.com/no.sleep.for.ice/#,@no.sleep.for.ice,,,,Protesta contra ICE por alojarse en hoteles del condado de Los Ángeles.
South Central Unidos,https://southcentralunited.com/home,@southcentralfarm,,,,"«Cultivando la resiliencia y el empoderamiento de la comunidad, South Central United se dedica a abordar necesidades críticas y fomentar cambios positivos. A través de programas innovadores e iniciativas colaborativas, nos esforzamos por mejorar la vida de las personas y las familias, garantizando el acceso a recursos esenciales y oportunidades de crecimiento. Nuestra misión es crear una comunidad próspera e inclusiva en la que cada miembro cuente con el apoyo y los recursos necesarios para prosperar»."
Asian Youth Collective,https://www.instagram.com/asian_youthcollective/?hl=en#,@asian_youthcollective,,,,Un colectivo de jóvenes asiáticos y BIPOC antiimperialistas que luchan por la liberación de nuestras patrias y de todos los pueblos oprimidos y trabajadores.
SFV Mutual Aid,https://www.instagram.com/sfv_mutualaid/?hl=en#,@sfv_mutualaid,,,,Distribución de comidas para nuestros vecinos sin hogar en North Hollywood y Van Nuys. Nos reunimos todos los sábados a la 1 p. m. Envíe un mensaje directo para obtener más detalles.
South Bay Abolitionist Collective,https://linktr.ee/TorranceForJustice,@southbay_abolition_mutualaid,,,,"Ayuda mutua en South Bay, Los Ángeles, Tovaangar. Actividad mensual de ayuda mutua en Alondra Park cada tercer domingo del mes."
The People's Struggle,https://www.instagram.com/peoplesstrugglesfv/?hl=en,"@peoplesstrugglesfv
",peoplesstrugglesfv,,,Organización Revolucionaria del Valle
The Rent Brigade,https://www.rentbrigade.org/,@therentbrigade,,,,"La iniciativa comenzó tras los incendios forestales de Los Ángeles que se iniciaron el 7 de enero, como una forma de documentar los abusos en los alquileres por parte de los propietarios que se aprovechan de las personas desplazadas durante las catástrofes. Mantenemos la hoja de cálculo «Seguimiento de la especulación con los precios de los alquileres en Los Ángeles», una herramienta de colaboración colectiva que denuncia a los propietarios que incumplen la ley y anteponen los beneficios a las personas. Al recopilar y compartir estos datos, hacemos que los propietarios rindan cuentas, ya que, con demasiada frecuencia, no sufren ninguna consecuencia por sus actos. Esta iniciativa reúne a personas vinculadas a diversas organizaciones y a otras sin afiliación alguna, unidas por la indignación colectiva ante la codicia de los propietarios y el compromiso con la justicia para los inquilinos."
Lennox-Inglewood Tenants Union,https://linktr.ee/Litunion?fbclid=PAZXh0bgNhZW0CMTEAAacG1Lk9so-kA2IvPoD3oGWXSKMgknKHG6yzrLm6N_v8jJCNc11zmqCbbAIwWA_aem_R5yh_9nTuJTxzs1waqQ5ag,@litunion,inglewoodtenantsunion@gmail.com,,,Afrontar nuestros miedos como sindicato
Long Beach Tenants Union,https://linktr.ee/lbtenants?fbclid=PAZXh0bgNhZW0CMTEAAacHXYBzwqU4LtdsU8KI3NrF1di7uO87w_jhi1dUA1EL5ZUPhUr2GOXLnn1xWA_aem_XlLpDEXxuNhRvMDb1nGVeQ,@lbtenants,,,,"Los inquilinos de LB se organizan de forma independiente en un terreno conocido como Long Beach, California. ✊🏽¡El 60 % de LBC son inquilinos! 🦋¡Construyamos poder! ¡Y detengamos los desalojos!"
DSA-LA,https://dsa-la.org/,@dsa_la,,,,"Los Socialistas Democráticos de América (DSA) son la organización socialista más grande de Estados Unidos, con más de 70 000 miembros en todo el país. Los miembros de la DSA están construyendo movimientos progresistas para el cambio social, al tiempo que establecen una presencia socialista democrática en las comunidades y la política estadounidenses."
NODUTDOL,https://nodutdol.org/,@nodutdol,,,,"Somos coreanos de la diáspora y compañeros que nos organizamos por un mundo libre de imperialismo, y por la reunificación y liberación nacional de Corea."
People's City Council,https://www.peoplescitycouncil-la.com/,@peoplescitycouncil,,,,"Colectivo abolicionista, anticapitalista y antiimperialista que amplifica la voz del pueblo: acción directa, educación política y construcción de comunidad."
Creating Justice Los Angeles,https://www.creatingjustice.la/,@creatingjusticela_,,900 N Alameda St #862005,,"I. Desarrollar un modelo organizativo creativo que ayude a eliminar las barreras de hostilidad (racismo, clasismo y otros «ismos») que separan y destruyen las comunidades. II. Educar y movilizar a las generaciones más jóvenes en el ámbito de las políticas públicas con el fin de lograr cambios en nuestra comunidad. III. Ayudar a las comunidades históricamente marginadas a construir un poder auténtico y verdadero. IV. Ayudar a las generaciones más jóvenes a construir poder y a utilizarlo de forma positiva y constructiva, en lugar de destructiva. V. Inspirar y animar a los artistas a crear obras que enriquezcan nuestra cultura y nuestra sociedad. VI. Valorar más las creaciones de los artistas mediante la creación de estructuras económicas que compensen a los artistas sin recursos."
BAJI,https://baji.org/,@instabaji,(347) 464-5422,"1368 Fulton St Suite 311, Brooklyn, NY 11216",,"BAJI educa e involucra a las comunidades afroamericanas y de inmigrantes negros para que se organicen y defiendan la justicia racial, social y económica. Los comités organizadores locales de BAJI en Nueva York, Georgia, California y Arizona crean coaliciones e inician campañas entre las comunidades para impulsar la justicia racial. A nivel local y regional, BAJI ofrece formación y asistencia técnica a organizaciones asociadas para desarrollar habilidades de liderazgo, colabora con comunidades religiosas para aprovechar su voz profética e inicia diálogos dinámicos con afroamericanos e inmigrantes negros para descubrir más sobre la raza, nuestras identidades diversas, el racismo, la migración y la globalización. El proyecto insignia de BAJI es la Red de Inmigración Negra (BIN), una alianza nacional que reúne a organizaciones y programas dirigidos por personas negras para promover políticas de inmigración justas y fomentar los cambios culturales que nuestras comunidades necesitan. La red BIN proporciona un espacio comunitario seguro para que las diversas comunidades negras se conecten, se comprometan y defiendan la igualdad y la justicia para todos."
5051 SoCal,https://www.50501socal.org/,@50501_socal,info@50501socal.org,,,"Un movimiento pacífico, descentralizado y popular cuya misión es defender la democracia y el gobierno constitucional."
Local 721 SEIU,https://www.seiu721.org/,@seiu721,(877) 721-4968,1545 Wilshire Blvd,,"Esta cuenta está siendo utilizada con fines de campaña por el Sindicato Internacional de Empleados de Servicios Local 721 CTW, Comité de Fuerza de los Trabajadores del CLC."
Sacred Resistance,https://diocesela.org/convention/exhibithall/sacred-resistance/,@la.sacredresistance,213) 482-2040,840 Echo Park Avenue,,"La Resistencia Sagrada es un movimiento creciente de fieles que responden al llamado a la resistencia. La Resistencia Sagrada honra el compromiso con el santuario y la acción pacífica para garantizar el reconocimiento de la dignidad de todas las personas. Como personas de fe y de conciencia, la Resistencia Sagrada rechaza las propuestas políticas de la actual administración presidencial que acosan y deportan a millones de inmigrantes indocumentados y discriminan a las comunidades AMEMSA (árabes, de Oriente Medio, musulmanas y del sur de Asia). Encarnamos la resistencia fiel en la plaza pública y abrimos nuestras congregaciones y comunidades para proporcionar refugio a cualquier persona que sea objeto de persecución por parte del Estado, trabajando como una cuestión de fe para garantizar la dignidad y los derechos humanos de todas las personas. Sacred Resistance recurre a las antiguas tradiciones de nuestras religiones, que reconocían los lugares de culto como refugio para los esclavos fugitivos, los objetores de conciencia y los refugiados centroamericanos que huían de las guerras civiles de la década de 1980. El santuario está volviendo a crecer entre las comunidades religiosas y nos solidarizamos con los inmigrantes centroamericanos, AMEMSA y otras comunidades que se enfrentan a políticas de deportación y discriminación inmorales e injustas. Nos encontramos entrando en una nueva fase de la historia de los Estados Unidos en la que la política del miedo ha avivado una atmósfera de racismo y xenofobia en todo el país. Sacred Resistance representa una respuesta mesurada y fiel a tal odio."
La Raza Unida Party,https://razaunidaparty.org/?fbclid=PAZXh0bgNhZW0CMTEAAaeByKE3tWSOtkQn_o_mQ__Nq_tKH3DHYKHH5OEf1JQYZaOxiZL7B-ghG7me0w_aem_nFYH25o12_HoAb07dCR9iQ,@la_raza_unida_party,,,,"Fundado en 1970 en Crystal City, Texas, el Partido Nacional surgió de un rico tapiz de resistencia y activismo chicano. Este movimiento, profundamente arraigado en las luchas contra las injusticias sociales, económicas y políticas, buscaba forjar una identidad chicana distintiva y luchar por los derechos de los mexicoamericanos."
FRSO Los Angeles,https://frso.org/,@frsolosangeles,612-477-5807,,LA and OC,Presta servicio a dos condados: Los Ángeles y Orange📍Aztlán. La FRSO es una organización nacional de revolucionarios que luchan por el socialismo en los Estados Unidos.
Centro CSO,https://sites.google.com/view/centrocso/centro-cso,@centrocso,323-580-3764,,East LA,•Defender la educación pública y luchar por todas las personas oprimidas en Boyle Heights y el este de Los Ángeles •Reuniones cada tercer miércoles 🌵Autodeterminación chicana🌵
KIWA Workers For Justice,https://www.kiwa.org/,@kiwa4justice,213-738-9050,"PO Box 75545, Los Angeles, CA 90075",LA,"Founded in 1992, KIWA builds power with immigrant workers and renters to bring about a more just and inclusive California. One of the nation’s most established worker centers, KIWA organizes primarily Latino and Korean workers, with a focus on the restaurant and retail industries, in Koreatown and beyond. KIWA aligns strategic worker and community organizing with policy change, leadership development, research, services, and coalition-building. Because of their immense impact on workers' lives, KIWA also works in the areas of civic engagement, economic policy, immigration, housing policy, and land-use reform."
The K.W. Lee Center For Leadership,https://www.kwleecenter.org/,@kwleecenterforleadership,(213) 985-7451,"853 S. Lucerne Blvd., #104, Los Angeles, CA 90005",Koreatown,A nonprofit organization dedicated to providing youth with the tools and opportunities necessary to become future leaders.
Workers United,https://tuwu.org/,@tuwu_bayarea,1 (415) 621-4155,"1212 Broadway, STE 700, Oakland, CA 94612",Bay Area,Trabajadores Unidos Workers United (TUWU) is a regional Bay Area immigrant worker center that stands at the intersection of economic racial justice and immigrant rights.
Pilipino Workers Center,https://www.pwcsc.org/,@pwcsc,213-250-4353,,,"At PWC, we are committed to empowering Filipino workers and their families through advocacy, education, and support services. By joining us, you become part of a vibrant network dedicated to promoting workers' rights and improving the quality of life for all."
laane A NEW ECONOMY FOR ALL,https://laane.org/,@laane_org,,"464 Lucas Avenue, Suite 202, Los Angeles, CA 90017",,"The Los Angeles Alliance for a New Economy (LAANE) is an organizing and advocacy institution committed to economic, environmental, and racial justice. For the last 30 years, we have bridged community and labor power to win policies that improve the lives of working families in Los Angeles and in Long Beach. Our vision is to help build a new economy rooted in good jobs, thriving communities, and a healthy environment for all. We fight for change through community organizing, building community and labor coalitions, research, communications, and policy work."
Thai Community Development Center,https://thaicdc.org/,@thaicdc,3234682555,"6376 Yucca St., Ste B, Los Angeles, CA 90028",Thaitown,"The mission of Thai CDC is “to advance the social and economic well-being of low and moderate income Thais and other ethnic communities in the greater Los Angeles area through a broad and comprehensive community development strategy including human rights advocacy, affordable housing, access to healthcare, promotion of small businesses, neighborhood empowerment, and social enterprises.”"
